name,year,value
Neglected tropical diseases and malaria,1991,44.16818734
Neurological disorders,1991,581.3933198
Mental disorders,1991,0.013314948
Neoplasms,1991,1602.570745
Substance use disorders,1991,29.88878492
Diabetes and kidney diseases,1991,966.3300566
Cardiovascular diseases,1991,5164.842658
Unintentional injuries,1991,1708.922991
Self-harm and interpersonal violence,1991,184.8517257
Neoplasms,1990,1585.413325
Cardiovascular diseases,1990,5210.275816
Unintentional injuries,1990,2212.134156
Self-harm and interpersonal violence,1990,154.2151469
Nutritional deficiencies,1990,81.26678847
Musculoskeletal disorders,1990,16.62699924
Chronic respiratory diseases,1991,594.5620957
Other non-communicable diseases,1990,3299.950274
Skin and subcutaneous diseases,1990,29.19374294
Transport injuries,1990,2260.200349
Digestive diseases,1991,723.9247021
HIV/AIDS and sexually transmitted infections,1991,54.1294795
Respiratory infections and tuberculosis,1991,1363.213587
Enteric infections,1991,816.9284956
Other infectious diseases,1991,362.2674277
Maternal and neonatal disorders,1991,4203.352486
Neglected tropical diseases and malaria,1990,57.66453501
Neurological disorders,1990,580.2951616
Chronic respiratory diseases,1990,605.5962726
Digestive diseases,1990,740.8297679
Mental disorders,1990,0.012921206
Substance use disorders,1990,28.85445503
Diabetes and kidney diseases,1990,971.1297813
HIV/AIDS and sexually transmitted infections,1990,51.46208306
Respiratory infections and tuberculosis,1990,1392.896355
Enteric infections,1990,883.7589596
Other infectious diseases,1990,773.4774284
Maternal and neonatal disorders,1990,4261.420105
Nutritional deficiencies,1992,68.50483066
Musculoskeletal disorders,1992,16.44034796
Other non-communicable diseases,1992,3177.016787
Skin and subcutaneous diseases,1992,30.88378654
Transport injuries,1992,2178.639868
Nutritional deficiencies,1991,77.41537097
Musculoskeletal disorders,1991,16.60086816
Other non-communicable diseases,1991,3339.766107
Skin and subcutaneous diseases,1991,30.14400495
Transport injuries,1991,2366.252103
Neglected tropical diseases and malaria,1992,32.22940834
Neurological disorders,1992,577.7123346
Neoplasms,1992,1605.190336
Cardiovascular diseases,1992,5088.577137
Unintentional injuries,1992,1648.328197
Chronic respiratory diseases,1992,578.3181646
Digestive diseases,1992,702.030763
Self-harm and interpersonal violence,1992,153.2240593
HIV/AIDS and sexually transmitted infections,1992,56.48100119
Respiratory infections and tuberculosis,1992,1296.845731
Enteric infections,1992,707.2556685
Mental disorders,1992,0.013677208
Substance use disorders,1992,31.08499733
Diabetes and kidney diseases,1992,954.6131975
Other infectious diseases,1992,356.1767358
Maternal and neonatal disorders,1992,4071.081438
Nutritional deficiencies,1993,58.9823338
Musculoskeletal disorders,1993,16.28248042
Other non-communicable diseases,1993,3011.015083
Skin and subcutaneous diseases,1993,31.56038159
Transport injuries,1993,2116.201208
Neoplasms,1994,1614.770687
Chronic respiratory diseases,1993,562.4702763
Cardiovascular diseases,1994,4928.091072
Unintentional injuries,1994,1589.73096
Self-harm and interpersonal violence,1994,150.2692945
Neoplasms,1993,1608.141085
Cardiovascular diseases,1993,5008.956107
Unintentional injuries,1993,1592.119108
Neglected tropical diseases and malaria,1993,24.66120068
Digestive diseases,1993,680.6061464
Self-harm and interpersonal violence,1993,151.7455793
Nutritional deficiencies,1994,53.35963892
Neurological disorders,1993,574.0724915
Mental disorders,1993,0.014072616
Chronic respiratory diseases,1994,546.8552915
Musculoskeletal disorders,1994,16.12998631
Other non-communicable diseases,1994,2840.925478
Skin and subcutaneous diseases,1994,32.17429021
HIV/AIDS and sexually transmitted infections,1993,58.94719076
Respiratory infections and tuberculosis,1993,1234.647422
Enteric infections,1993,613.3425451
Other infectious diseases,1993,337.8098036
Maternal and neonatal disorders,1993,3934.769044
Digestive diseases,1994,659.6040764
Transport injuries,1994,2056.02364
HIV/AIDS and sexually transmitted infections,1994,61.35866739
Respiratory infections and tuberculosis,1994,1174.804637
Enteric infections,1994,532.1617547
Other infectious diseases,1994,314.0621452
Maternal and neonatal disorders,1994,3786.88502
Substance use disorders,1993,32.17435695
Diabetes and kidney diseases,1993,945.0604841
Neglected tropical diseases and malaria,1994,19.9083134
Neurological disorders,1994,572.0513087
