"name","value","year","lastValue","rank"
"Cardiovascular diseases",5210,1990,NA,1
"Cardiovascular diseases",5165,1991,5210,1
"Cardiovascular diseases",5089,1992,5165,1
"Cardiovascular diseases",5009,1993,5089,1
"Cardiovascular diseases",4928,1994,5009,1
"Cardiovascular diseases",4857,1995,4928,1
"Cardiovascular diseases",4782,1996,4857,1
"Cardiovascular diseases",4705,1997,4782,1
"Cardiovascular diseases",4649,1998,4705,1
"Cardiovascular diseases",4619,1999,4649,1
"Cardiovascular diseases",4619,2000,4619,1
"Cardiovascular diseases",4617,2001,4619,1
"Cardiovascular diseases",4773,2002,4617,1
"Cardiovascular diseases",4862,2003,4773,1
"Cardiovascular diseases",4941,2004,4862,1
"Cardiovascular diseases",5115,2005,4941,1
"Cardiovascular diseases",5233,2006,5115,1
"Cardiovascular diseases",5300,2007,5233,1
"Cardiovascular diseases",5385,2008,5300,1
"Cardiovascular diseases",5438,2009,5385,1
"Cardiovascular diseases",5450,2010,5438,1
"Cardiovascular diseases",5388,2011,5450,1
"Cardiovascular diseases",5260,2012,5388,1
"Cardiovascular diseases",5100,2013,5260,1
"Cardiovascular diseases",4912,2014,5100,1
"Cardiovascular diseases",4739,2015,4912,1
"Cardiovascular diseases",4589,2016,4739,1
"Cardiovascular diseases",4461,2017,4589,1
"Chronic respiratory diseases",606,1990,NA,12
"Chronic respiratory diseases",595,1991,606,11
"Chronic respiratory diseases",578,1992,595,11
"Chronic respiratory diseases",562,1993,578,12
"Chronic respiratory diseases",547,1994,562,11
"Chronic respiratory diseases",533,1995,547,11
"Chronic respiratory diseases",521,1996,533,11
"Chronic respiratory diseases",510,1997,521,11
"Chronic respiratory diseases",501,1998,510,11
"Chronic respiratory diseases",495,1999,501,11
"Chronic respiratory diseases",491,2000,495,11
"Chronic respiratory diseases",475,2001,491,11
"Chronic respiratory diseases",478,2002,475,11
"Chronic respiratory diseases",482,2003,478,11
"Chronic respiratory diseases",479,2004,482,11
"Chronic respiratory diseases",483,2005,479,11
"Chronic respiratory diseases",484,2006,483,11
"Chronic respiratory diseases",488,2007,484,11
"Chronic respiratory diseases",492,2008,488,11
"Chronic respiratory diseases",493,2009,492,11
"Chronic respiratory diseases",491,2010,493,11
"Chronic respiratory diseases",482,2011,491,11
